,name,region,country-code,region-code,gfsi,surfacetempanomaly,precipitationflux,gdp,population,migration,tempstep,gfsi_hat
98,Tunisia,Africa,788,2.0,0.5600739371534196,0.6529772588740322,0.33997036105025574,0.03276192395170637,0.006851704269535134,0.047911422592127696,-0.01,0.49313341704714353
99,Turkey,Asia,792,142.0,0.5878003696857671,0.6151146494841943,0.3172142786257488,0.0857885608095476,0.05772632917422663,0.1861428462092113,-0.01,0.5653288960770243
100,Uganda,Africa,800,2.0,0.21195317313616754,0.9365352439539276,0.07858036486381506,0.005539820776274267,0.029957622190985234,0.0426283425786673,-0.01,0.3876094878703261
101,Ukraine,Europe,804,150.0,0.4621072088724583,0.4754539254974684,0.3236418059670793,0.03180695957234974,0.030053157223095203,0.33893329430731484,-0.01,0.5911382207559125
102,Egypt,Africa,818,2.0,0.5224892174984596,0.793840226352125,0.19014347751411642,0.027400185160266998,0.06980139627115234,0.1959338646444854,-0.01,0.46989294018149813
103,United Kingdom of Great Britain and Northern Ireland,Europe,826,150.0,0.9069624152803449,0.34184053400541486,0.2232370403474063,0.4125616682923831,0.04599207817915949,0.25999166737730023,-0.01,0.9000524659651906
104,"Tanzania, United Republic of",Africa,834,2.0,0.2637091805298829,0.9683827632020721,0.3321543167539534,0.0081821321875073,0.03973210293874423,0.016782924831996233,-0.01,0.3678733176359036
105,United States of America,Americas,840,19.0,0.8964879852125693,0.34810401635245664,0.11731445876317,0.6195821744460676,0.2319913100713026,0.16354622870569094,-0.01,1.050208694971268
106,Burkina Faso,Africa,854,2.0,0.3148490449784349,0.9656487377569108,0.43234297418498935,0.005758399012999933,0.012978889139447834,0.0874959561118655,-0.01,0.3704768588392387
107,Uruguay,Americas,858,19.0,0.7732593961799137,0.659818761951285,0.0801475074562817,0.1660272614501452,0.0010093278094312332,0.019202403506693864,-0.01,0.5894740990741094
108,Uzbekistan,Asia,860,142.0,0.43314849044978426,0.4455425685519256,0.13869760389315663,0.014436137128306999,0.022393482267861965,0.11182775227278553,-0.01,0.5662765004204434
109,Venezuela (Bolivarian Republic of),Americas,862,19.0,0.21380160197165732,0.9666154679716346,0.5969216667903102,0.1541354156773454,0.018861242229538635,0.2494703491719278,-0.01,0.4901009636050556
110,Yemen,Asia,887,142.0,0.0727048675292668,0.886753321142481,0.18285099817943387,0.005160738451742,0.019251072573765633,0.0693868077938335,-0.01,0.40325664246490023
0,Algeria,Africa,12,2.0,0.5871842267406038,0.7826411494560942,0.2223783591611451,0.03490895920733067,0.0291042062668921,0.11001840998632777,0.0,0.46405921789068744
1,Angola,Africa,24,2.0,0.17313616759088102,0.9813606777306564,0.7822283998991737,0.023342518605355734,0.021147312894199504,0.035664656087134365,0.0,0.36022693414214413
2,Azerbaijan,Asia,31,142.0,0.5477510782501539,0.6272900176234177,0.2328813319605658,0.04246752012422153,0.005663684463492267,0.06362852773560969,0.0,0.5140842034880762
3,Argentina,Americas,32,19.0,0.6149106592729513,0.6226196497507789,0.13982395767540715,0.09656102190754008,0.030447454204777364,0.05760429701564133,0.0,0.5581308088058828
4,Australia,Oceania,36,9.0,0.829328404189772,0.8060499983428504,0.34647988318844397,0.5292930300769653,0.016543296822332732,0.031436339386362866,0.0,0.7904240727500454
5,Austria,Europe,40,150.0,0.8915588416512631,0.43506291041453166,0.33157246474027774,0.48531804319666244,0.0048545674851691,0.03149208817325247,0.0,0.8846492630562387
6,Bangladesh,Asia,50,142.0,0.37584719654959947,0.9298219069316369,0.21628309722371644,0.015681725647659,0.1142728627483842,0.4071116140766042,0.0,0.44441512649246345
7,Belgium,Europe,56,150.0,0.8539741219963032,0.40209393368234325,0.28451599631713903,0.4500970149278114,0.006705426683885099,0.0304550300029325,0.0,0.8725145387288914
8,Bolivia (Plurinational State of),Americas,68,19.0,0.5372766481823783,0.9348183908940388,0.07200710366613196,0.030998022741576998,0.006724116577015433,0.04958707984791353,0.0,0.4054318542556839
9,Botswana,Africa,72,2.0,0.45348120764017247,0.864587431174284,0.34716724053288733,0.06631009000459283,0.000187083946955,0.0022600576881349334,0.0,0.4386937469297793
10,Brazil,Americas,76,19.0,0.658656808379544,0.9419882616220163,0.33477178208903413,0.07843106798351528,0.14833419195382813,0.1006827760303599,0.0,0.44527778046108335
11,Bulgaria,Europe,100,150.0,0.6672828096118298,0.5387426995387359,0.3751891907741629,0.09323161630109583,0.0035053983366481333,0.08745074076410685,0.0,0.5780339536112756
12,Myanmar,Asia,104,142.0,0.4374614910659273,0.9474100204189554,0.31288752408300713,0.0107261402840437,0.036919111719896765,0.19701617551518505,0.0,0.3995943455142089
13,Burundi,Africa,108,2.0,0.0800985828712261,0.9680566543173045,0.10432270198373234,6.929595385853333e-05,0.006737712624899267,0.028648115636841803,0.0,0.3686600037086317
14,Belarus,Europe,112,150.0,0.7523105360443623,0.4418438915331218,0.2787413293922309,0.06147359384890203,0.005233397678866866,0.08176341200953251,0.0,0.5910472344382999
15,Cambodia,Asia,116,142.0,0.40110905730129387,0.9748560982357839,0.21887865467542564,0.013031009373343267,0.010253145103245133,0.06035432771015767,0.0,0.37594760477415495
16,Cameroon,Africa,120,2.0,0.25385089340727046,0.9892305137305585,0.5602619993129371,0.0128899595803618,0.01692109121229207,0.0224696372683236,0.0,0.3555295566901816
17,Canada,Americas,124,19.0,0.8508934072704867,0.09660304295762094,0.10687462839788807,0.4396962243621294,0.02521722284875923,0.07087678517047154,0.0,0.9810105688016095
18,Sri Lanka,Asia,144,142.0,0.49291435613062223,0.9625343858390134,0.8127516033407763,0.0354075776721508,0.0140236533610174,0.10520554344272304,0.0,0.3822052701620332
19,Chad,Africa,148,2.0,0.19963031423290198,0.9404361255571255,0.33060491814906723,0.0045781339986709,0.009873451345443733,0.010899083938174932,0.0,0.37177758863831073
20,Chile,Americas,152,19.0,0.7732593961799137,0.5592444229735588,0.16746730044955038,0.14015945996084386,0.011990234344877332,0.03457394087670257,0.0,0.6051730051180056
21,China,Asia,156,142.0,0.7677141096734442,0.6556514900650315,0.3477372698784173,0.0967335240274126,0.9973137894552729,0.5824503827392343,0.0,0.6811868318991278
22,Colombia,Americas,170,19.0,0.6290819470117067,0.9953394489331555,0.5584679668376354,0.057796292745506565,0.0342503080249758,0.1645898049083809,0.0,0.40425578646495836
23,"Congo, Democratic Republic of the",Africa,180,2.0,0.09611829944547128,0.9798017869828781,0.3300911912649734,0.0032488729000947,0.06016590959646023,0.09852851964129672,0.0,0.37235032103895577
24,Costa Rica,Americas,188,19.0,0.7479975354282193,0.9917060599772606,0.5165298949219927,0.1189248043133142,0.0021346512054045,0.007074773186480701,0.0,0.4279449108419516
25,Czechia,Europe,203,150.0,0.8780036968576709,0.4233867655768387,0.31167909562100604,0.2250526141743646,0.0061232616863604325,0.053971063596834006,0.0,0.7083515633746115
26,Benin,Africa,204,2.0,0.2686383240911891,0.9888353197504759,0.6400691032956051,0.009958396781026434,0.006929979139440267,0.03646788684979683,0.0,0.3519177951128855
27,Denmark,Europe,208,150.0,0.8576709796672827,0.37085055327157196,0.23078600118405412,0.589978801525007,0.0026784230892560336,0.012965991222955766,0.0,0.981170213406467
28,Dominican Republic,Americas,214,19.0,0.6426370918052987,0.9163155132190034,0.358133718840186,0.074390171886437,0.0061739758487518665,0.08719244738967369,0.0,0.4375379623876934
29,Ecuador,Americas,218,19.0,0.5335797905113986,0.9592674609453233,0.5173084061362303,0.056594335038752996,0.0108791150405539,0.062018274919250105,0.0,0.4024059208387222
30,El Salvador,Americas,222,19.0,0.5064695009242143,0.9815287342408733,0.4514163479052162,0.036793187187916535,0.0031329249211242334,0.08741942059137187,0.0,0.3856036130032988
31,Ethiopia,Africa,231,2.0,0.16142945163277875,0.9569829371306534,0.5936705129330977,0.0060994988020615,0.07811069028070827,0.050640741258281996,0.0,0.36885348240286175
32,Finland,Europe,246,150.0,0.9876771410967344,0.12657546223645919,0.18111466112351282,0.47617447508833405,0.002471927640810067,0.015933806374396568,0.0,0.9855564566829557
33,France,Europe,250,150.0,0.8823166974738138,0.43210462949753775,0.32437532563824417,0.3912406666793797,0.04628043761188074,0.1275111653520972,0.0,0.8346307078443964
34,Germany,Europe,276,150.0,0.895871842267406,0.40651275716428614,0.2867432412095354,0.45555576505480094,0.05750176725495527,0.21227681295335107,0.0,0.9013790670814547
35,Ghana,Africa,288,2.0,0.4060382008626,0.9966182454972371,0.7255991425410219,0.019569104429446867,0.020143344387254267,0.053806786769537235,0.0,0.35643700101222514
36,Greece,Europe,300,150.0,0.8065311152187307,0.6119264463667365,0.38039226814078964,0.18130921780583611,0.006160019706466534,0.05677181915071117,0.0,0.6116625063740241
37,Guatemala,Americas,320,19.0,0.4633394947627849,0.974693535534315,0.2826434963739682,0.04231623677115363,0.0103368992282392,0.0726581690200872,0.0,0.39611688824183666
38,Guinea,Africa,324,2.0,0.18792359827479965,0.9885138869075152,0.5435926613124059,0.008188946511760968,0.007618215124324266,0.0290086431350383,0.0,0.35308631977805405
39,Haiti,Americas,332,19.0,0.10412815773259393,0.9347665149294695,0.4299786827008407,0.0109715339083266,0.0065465592799766326,0.09455302415597729,0.0,0.38507326746753207
40,Honduras,Americas,340,19.0,0.5218730745532963,0.9740268033021922,0.5675977077743682,0.021923623758691464,0.0054699316723215005,0.051124289613845936,0.0,0.369483329957727
41,Hungary,Europe,348,150.0,0.7430683918669129,0.45586093927197835,0.3421841731349467,0.15730433862563806,0.0054837979093029,0.0375473962739191,0.0,0.646405868495019
42,India,Asia,356,142.0,0.5237215033887862,0.8473951421041169,0.2820396316306239,0.017336908226101733,0.968361930328418,0.9777695689167624,0.0,0.6091867325314763
43,Indonesia,Asia,360,142.0,0.5600739371534195,0.9720194016107481,0.5460333582872512,0.03640253480320227,0.19062316009608785,0.2505918616184002,0.0,0.420399284539998
44,Ireland,Europe,372,150.0,0.9901417128773876,0.35892448516707626,0.22008534568450666,0.7944411140173688,0.0020509474746992335,0.03996045029779933,0.0,1.1332648380456927
45,Israel,Asia,376,142.0,0.8724584103512014,0.7357681533453503,0.2520558773646216,0.42040327891947865,0.0049763170111628,0.0185818830898073,0.0,0.7379481295101332
46,Italy,Europe,380,150.0,0.8342575477510782,0.5197824848010626,0.3860885150282962,0.3225037703404994,0.04104454293149346,0.1746997213457118,0.0,0.7598002071959788
47,Côte d'Ivoire,Africa,384,2.0,0.3518176216882316,0.9990721767587026,0.743131465418668,0.0202283744517896,0.016808838052322767,0.06214415325212643,0.0,0.356267915799755
48,Japan,Asia,392,142.0,0.9032655576093652,0.7401702252137362,0.31668679440969727,0.38984633087184667,0.08813355406779454,0.04361131415373353,0.0,0.7223706407641147
49,Kazakhstan,Asia,398,142.0,0.6999383857054836,0.40176781759258073,0.1900787623855242,0.09109655744053995,0.011693820106702368,0.23076434332243267,0.0,0.6474979145435933
50,Jordan,Asia,400,142.0,0.6112138016019716,0.7345922981484597,0.2209243082779291,0.0399660281239567,0.005714074966789533,0.04323883381680693,0.0,0.4738253049889589
51,Kenya,Africa,404,2.0,0.2914356130622304,0.9420546376391817,0.08996464443073417,0.015908417827995736,0.03587202320962767,0.028173438528772837,0.0,0.3913529135765094
52,"Korea, Republic of",Asia,410,142.0,0.7732593961799137,0.7520370322337063,0.40356703927392995,0.3124506385543837,0.03526830483504243,0.12172729874846681,0.0,0.6663942805622152
53,Kuwait,Asia,414,142.0,0.7430683918669131,0.7420054275227929,0.0994515779784572,0.29182851370080826,0.0015369787259158333,0.010491604195341732,0.0,0.6487922039240926
54,Lao People's Democratic Republic,Asia,418,142.0,0.36783733826247683,0.9546480684128685,0.2142606146528281,0.023209982640538102,0.0036406577907082335,0.07131958181649002,0.0,0.3909803558595541
55,Madagascar,Africa,450,2.0,0.09673444239063456,0.903620852264457,0.4617738764237709,0.002706608552998667,0.017698092123307,0.009436616766926666,0.0,0.37903394187042755
56,Malawi,Africa,454,2.0,0.15588416512630923,0.9853622419350877,0.7120843799802147,0.0035338399921884,0.0117783675277072,0.0160671552314792,0.0,0.3440258157408384
57,Malaysia,Asia,458,142.0,0.632162661737523,0.9005039713932869,0.9394646189605731,0.10563223488632793,0.02122833792003337,0.10212208457656857,0.0,0.4488174382427724
58,Mali,Africa,466,2.0,0.40172520024645714,0.9347834466679054,0.3024471420264963,0.0063354131747065,0.012508184005881698,0.07098570541339953,0.0,0.3835379553400761
59,Mexico,Americas,484,19.0,0.647566235366605,0.9071144643158203,0.11070980358858616,0.08856211558547766,0.08909625343771232,0.6337805600002061,0.0,0.5332636321868347
60,Morocco,Africa,504,2.0,0.5545286506469501,0.7337999288146478,0.31388999447644744,0.028683235004509533,0.0244383341629546,0.17831551109049745,0.0,0.48131607761303546
61,Mozambique,Africa,508,2.0,0.14109673444239054,0.9284208055760894,0.5763977195890481,0.0025120880661388665,0.0201101210651502,0.03417469738680687,0.0,0.3699766284463299
62,Oman,Asia,512,142.0,0.7270486752926679,0.8279478696991044,0.05045496752443363,0.1637652327410124,0.0020802282126329333,0.00017191543829766666,0.0,0.5296088814870629
63,Nepal,Asia,524,142.0,0.4417744916820701,0.8468581898458559,0.2806257069230364,0.0092320472766768,0.018861797276494,0.14075722652754755,0.0,0.42526476133790314
64,Netherlands,Europe,528,150.0,0.9174368453481208,0.39265917275128515,0.2634005412575246,0.5104018238480038,0.010859459375185032,0.052004429423212366,0.0,0.9220000435176379
65,New Zealand,Oceania,554,9.0,0.8619839802834258,0.5336381406501497,0.29745210467632605,0.41167265310472523,0.002092793661822133,0.0431964012393151,0.0,0.8016044394985553
66,Nicaragua,Americas,558,19.0,0.43622920517560065,0.9827711455798068,0.5585732225343629,0.016756369284807,0.0031980040583409666,0.03832761782202613,0.0,0.36140043522475096
67,Niger,Africa,562,2.0,0.3370301910043129,0.9306277856312214,0.2637999232694858,0.0032716563831051335,0.015104453757739602,0.020909661079872435,0.0,0.3780360545234005
68,Nigeria,Africa,566,2.0,0.19100431300061613,0.9848859917603674,0.5871953953583355,0.018406050234232165,0.1412126572615266,0.08830714298280769,0.0,0.37792950516927043
69,Norway,Europe,578,150.0,0.895871842267406,0.12351829276200599,0.12070793647574557,0.7291947224424957,0.0023471516183744667,0.009449783565840267,0.0,1.1664561434899239
70,Pakistan,Asia,586,142.0,0.48120764017252005,0.7129374152512448,0.08880002549462519,0.0106311561680367,0.15226345310454278,0.3474237505072019,0.0,0.5140955464795487
71,Panama,Americas,591,19.0,0.7449168207024028,0.987314885663932,0.50175016428541,0.14005404507834798,0.0015661085175761001,0.006728402331655133,0.0,0.4447544885985561
72,Paraguay,Americas,600,19.0,0.5157116451016636,0.8937180368405802,0.06268015807845934,0.05025123467364367,0.0035523442838402332,0.04845017812157623,0.0,0.43287229769801644
73,Peru,Americas,604,19.0,0.6592729513247074,0.9459215584980751,0.22326232577934232,0.06306534386044767,0.021613452731069,0.0827086387610464,0.0,0.42461031280995165
74,Philippines,Asia,608,142.0,0.5268022181146026,0.9573964137857488,0.2894650635587987,0.030356976283392668,0.07529106617976666,0.33356947660349484,0.0,0.4308268646715357
75,Poland,Europe,616,150.0,0.8207024029574862,0.420865017299193,0.2850953195379871,0.15016276777895018,0.025485939628721335,0.26075382893313853,0.0,0.6844147668884074
76,Portugal,Europe,620,150.0,0.8453481207640173,0.5848120685108565,0.5196472748897207,0.22204846249211782,0.0058553225872774,0.11418113548456783,0.0,0.6521386413148091
77,Qatar,Asia,634,142.0,0.7905113986444854,0.7781300119747009,0.0298739070503727,0.5765973994807932,0.0005621825973538,0.00020777395448793334,0.0,0.8386013158410921
78,Romania,Europe,642,150.0,0.7535428219346888,0.493185695779169,0.36475123516052316,0.12182514052046477,0.012299160325652031,0.2158372834663889,0.0,0.6306546542266392
79,Russian Federation,Europe,643,150.0,0.7800369685767098,0.0926393950397927,0.16698293302492936,0.10461447174367333,0.1009943062183164,0.5950153188701743,0.0,0.8148181951714878
80,Rwanda,Africa,646,2.0,0.21195317313616754,0.9544818131514209,0.035331646086811365,0.005573671056071201,0.007514773393919133,0.0265103317536536,0.0,0.37921769879646117
81,Saudi Arabia,Asia,682,142.0,0.7215033887861985,0.8085680540605186,0.08771165602793783,0.21393043023872424,0.022870608059686336,0.0153757582161852,0.0,0.5738922262886301
82,Senegal,Africa,686,2.0,0.30067775723967954,0.9659466715084225,0.45157507271702285,0.011930983277406867,0.010120489354105533,0.0365500812923767,0.0,0.3675441052020065
83,Serbia,Europe,688,150.0,0.5532963647566236,0.49738260541268037,0.37011455761026174,0.070492627325776,0.0034798822650202333,0.0530581281862019,0.0,0.5718793205514088
84,Sierra Leone,Africa,694,2.0,0.10474430067775713,0.9986201533799343,0.6559295770789458,0.0028581914329814996,0.004098188484947366,0.007187279281027734,0.0,0.33920355489374837
85,Slovakia,Europe,703,150.0,0.6894639556377079,0.44028590140972884,0.3183050271048397,0.18592546229912385,0.0024229697075531663,0.0214942295990162,0.0,0.6704481989129202
86,Viet Nam,Asia,704,142.0,0.5828712261244609,0.9552574308716745,0.2572359359763976,0.02396581715041383,0.06700973461247726,0.1834358083815023,0.0,0.4087906348373834
87,South Africa,Africa,710,2.0,0.5280345040049291,0.7552449662301877,0.3210419947513244,0.060382208326192933,0.040112156081168436,0.0486141374515942,0.0,0.48130631377775857
88,Zimbabwe,Africa,716,2.0,0.17621688231669738,0.9144048385864947,0.4764377593912987,0.010067178941836034,0.0089499686691017,0.0675985697382586,0.0,0.3866388008549912
89,Spain,Europe,724,150.0,0.8046826863832409,0.5610509854271765,0.4294828895261979,0.2801144343344002,0.03198200359474384,0.07979332271846547,0.0,0.7019431388141298
90,Sudan,Africa,729,2.0,0.13123844731977807,0.9183508342663794,0.23249666837161717,0.0037442989466467667,0.02894605006125627,0.11378691592220087,0.0,0.3961912689830165
91,Sweden,Europe,752,150.0,0.9014171287738755,0.2125206062859254,0.16086546613962124,0.5132781250660116,0.005841216208497334,0.0168633637013877,0.0,0.9836871333430252
92,Switzerland,Europe,756,150.0,0.9100431300061613,0.43145924206333736,0.33486655814875227,0.8379610849962297,0.004638999408591767,0.0380043682396191,0.0,1.135596344223033
93,Syrian Arab Republic,Asia,760,142.0,0.1965495995070856,0.6864367228512185,0.24965548630191362,0.0105576236485198,0.010740654957673833,0.45012351204433393,0.0,0.519395027970314
94,Tajikistan,Asia,762,142.0,0.3955637707948243,0.42683849859430517,0.13003385981202342,0.0062269920533716,0.005167392280426734,0.03165199474388853,0.0,0.555786725407598
95,Thailand,Asia,764,142.0,0.6025878003696857,0.9654373684187769,0.35689935839408465,0.07016952381605246,0.04796574778645574,0.05784180365647044,0.0,0.4175801953739859
96,Togo,Africa,768,2.0,0.26432532347504617,0.992552646899041,0.6847726435761071,0.006574088447018567,0.004289793249132933,0.02878951398375673,0.0,0.34563231495625174
97,United Arab Emirates,Asia,784,142.0,0.7288971041281576,0.7869395594577799,0.026781453041562802,0.3964889380179524,0.005482623935307833,0.0098984072207397,0.0,0.7101130304654097
98,Tunisia,Africa,788,2.0,0.5600739371534196,0.6629772588740322,0.33997036105025574,0.03276192395170637,0.006851704269535134,0.047911422592127696,0.0,0.48974521146878824
99,Turkey,Asia,792,142.0,0.5878003696857671,0.6251146494841943,0.3172142786257488,0.0857885608095476,0.05772632917422663,0.1861428462092113,0.0,0.561940690498669
100,Uganda,Africa,800,2.0,0.21195317313616754,0.9465352439539276,0.07858036486381506,0.005539820776274267,0.029957622190985234,0.0426283425786673,0.0,0.3842212822919709
101,Ukraine,Europe,804,150.0,0.4621072088724583,0.4854539254974684,0.3236418059670793,0.03180695957234974,0.030053157223095203,0.33893329430731484,0.0,0.5877500151775572
102,Egypt,Africa,818,2.0,0.5224892174984596,0.803840226352125,0.19014347751411642,0.027400185160266998,0.06980139627115234,0.1959338646444854,0.0,0.46650473460314285
103,United Kingdom of Great Britain and Northern Ireland,Europe,826,150.0,0.9069624152803449,0.3518405340054149,0.2232370403474063,0.4125616682923831,0.04599207817915949,0.25999166737730023,0.0,0.8966642603868354
104,"Tanzania, United Republic of",Africa,834,2.0,0.2637091805298829,0.9783827632020721,0.3321543167539534,0.0081821321875073,0.03973210293874423,0.016782924831996233,0.0,0.3644851120575483
105,United States of America,Americas,840,19.0,0.8964879852125693,0.35810401635245664,0.11731445876317,0.6195821744460676,0.2319913100713026,0.16354622870569094,0.0,1.0468204893929127
106,Burkina Faso,Africa,854,2.0,0.3148490449784349,0.9756487377569109,0.43234297418498935,0.005758399012999933,0.012978889139447834,0.0874959561118655,0.0,0.36708865326088347
107,Uruguay,Americas,858,19.0,0.7732593961799137,0.669818761951285,0.0801475074562817,0.1660272614501452,0.0010093278094312332,0.019202403506693864,0.0,0.5860858934957541
108,Uzbekistan,Asia,860,142.0,0.43314849044978426,0.4555425685519256,0.13869760389315663,0.014436137128306999,0.022393482267861965,0.11182775227278553,0.0,0.5628882948420881
109,Venezuela (Bolivarian Republic of),Americas,862,19.0,0.21380160197165732,0.9766154679716346,0.5969216667903102,0.1541354156773454,0.018861242229538635,0.2494703491719278,0.0,0.4867127580267004
110,Yemen,Asia,887,142.0,0.0727048675292668,0.896753321142481,0.18285099817943387,0.005160738451742,0.019251072573765633,0.0693868077938335,0.0,0.399868436886545
0,Algeria,Africa,12,2.0,0.5871842267406038,0.7926411494560942,0.2223783591611451,0.03490895920733067,0.0291042062668921,0.11001840998632777,0.01,0.46067101231233215
1,Angola,Africa,24,2.0,0.17313616759088102,0.9913606777306564,0.7822283998991737,0.023342518605355734,0.021147312894199504,0.035664656087134365,0.01,0.35683872856378884
2,Azerbaijan,Asia,31,142.0,0.5477510782501539,0.6372900176234177,0.2328813319605658,0.04246752012422153,0.005663684463492267,0.06362852773560969,0.01,0.510695997909721
3,Argentina,Americas,32,19.0,0.6149106592729513,0.6326196497507789,0.13982395767540715,0.09656102190754008,0.030447454204777364,0.05760429701564133,0.01,0.5547426032275276
4,Australia,Oceania,36,9.0,0.829328404189772,0.8160499983428504,0.34647988318844397,0.5292930300769653,0.016543296822332732,0.031436339386362866,0.01,0.7870358671716902
5,Austria,Europe,40,150.0,0.8915588416512631,0.44506291041453167,0.33157246474027774,0.48531804319666244,0.0048545674851691,0.03149208817325247,0.01,0.8812610574778834
6,Bangladesh,Asia,50,142.0,0.37584719654959947,0.9398219069316369,0.21628309722371644,0.015681725647659,0.1142728627483842,0.4071116140766042,0.01,0.44102692091410817
7,Belgium,Europe,56,150.0,0.8539741219963032,0.41209393368234326,0.28451599631713903,0.4500970149278114,0.006705426683885099,0.0304550300029325,0.01,0.8691263331505362
8,Bolivia (Plurinational State of),Americas,68,19.0,0.5372766481823783,0.9448183908940389,0.07200710366613196,0.030998022741576998,0.006724116577015433,0.04958707984791353,0.01,0.40204364867732867
9,Botswana,Africa,72,2.0,0.45348120764017247,0.8745874311742841,0.34716724053288733,0.06631009000459283,0.000187083946955,0.0022600576881349334,0.01,0.435305541351424
10,Brazil,Americas,76,19.0,0.658656808379544,0.9519882616220163,0.33477178208903413,0.07843106798351528,0.14833419195382813,0.1006827760303599,0.01,0.4418895748827281
11,Bulgaria,Europe,100,150.0,0.6672828096118298,0.5487426995387359,0.3751891907741629,0.09323161630109583,0.0035053983366481333,0.08745074076410685,0.01,0.5746457480329203
12,Myanmar,Asia,104,142.0,0.4374614910659273,0.9574100204189554,0.31288752408300713,0.0107261402840437,0.036919111719896765,0.19701617551518505,0.01,0.3962061399358537
13,Burundi,Africa,108,2.0,0.0800985828712261,0.9780566543173045,0.10432270198373234,6.929595385853333e-05,0.006737712624899267,0.028648115636841803,0.01,0.36527179813027644
14,Belarus,Europe,112,150.0,0.7523105360443623,0.4518438915331218,0.2787413293922309,0.06147359384890203,0.005233397678866866,0.08176341200953251,0.01,0.5876590288599446
15,Cambodia,Asia,116,142.0,0.40110905730129387,0.9848560982357839,0.21887865467542564,0.013031009373343267,0.010253145103245133,0.06035432771015767,0.01,0.3725593991957997
16,Cameroon,Africa,120,2.0,0.25385089340727046,0.9992305137305585,0.5602619993129371,0.0128899595803618,0.01692109121229207,0.0224696372683236,0.01,0.3521413511118263
17,Canada,Americas,124,19.0,0.8508934072704867,0.10660304295762094,0.10687462839788807,0.4396962243621294,0.02521722284875923,0.07087678517047154,0.01,0.9776223632232542
18,Sri Lanka,Asia,144,142.0,0.49291435613062223,0.9725343858390134,0.8127516033407763,0.0354075776721508,0.0140236533610174,0.10520554344272304,0.01,0.378817064583678
19,Chad,Africa,148,2.0,0.19963031423290198,0.9504361255571255,0.33060491814906723,0.0045781339986709,0.009873451345443733,0.010899083938174932,0.01,0.36838938305995544
20,Chile,Americas,152,19.0,0.7732593961799137,0.5692444229735588,0.16746730044955038,0.14015945996084386,0.011990234344877332,0.03457394087670257,0.01,0.6017847995396504
21,China,Asia,156,142.0,0.7677141096734442,0.6656514900650315,0.3477372698784173,0.0967335240274126,0.9973137894552729,0.5824503827392343,0.01,0.6777986263207725
22,Colombia,Americas,170,19.0,0.6290819470117067,1.0053394489331555,0.5584679668376354,0.057796292745506565,0.0342503080249758,0.1645898049083809,0.01,0.40086758088660307
23,"Congo, Democratic Republic of the",Africa,180,2.0,0.09611829944547128,0.9898017869828781,0.3300911912649734,0.0032488729000947,0.06016590959646023,0.09852851964129672,0.01,0.36896211546060054
24,Costa Rica,Americas,188,19.0,0.7479975354282193,1.0017060599772605,0.5165298949219927,0.1189248043133142,0.0021346512054045,0.007074773186480701,0.01,0.4245567052635964
25,Czechia,Europe,203,150.0,0.8780036968576709,0.4333867655768387,0.31167909562100604,0.2250526141743646,0.0061232616863604325,0.053971063596834006,0.01,0.7049633577962562
26,Benin,Africa,204,2.0,0.2686383240911891,0.9988353197504759,0.6400691032956051,0.009958396781026434,0.006929979139440267,0.03646788684979683,0.01,0.3485295895345303
27,Denmark,Europe,208,150.0,0.8576709796672827,0.38085055327157197,0.23078600118405412,0.589978801525007,0.0026784230892560336,0.012965991222955766,0.01,0.9777820078281118
28,Dominican Republic,Americas,214,19.0,0.6426370918052987,0.9263155132190034,0.358133718840186,0.074390171886437,0.0061739758487518665,0.08719244738967369,0.01,0.43414975680933815
29,Ecuador,Americas,218,19.0,0.5335797905113986,0.9692674609453233,0.5173084061362303,0.056594335038752996,0.0108791150405539,0.062018274919250105,0.01,0.39901771526036695
30,El Salvador,Americas,222,19.0,0.5064695009242143,0.9915287342408733,0.4514163479052162,0.036793187187916535,0.0031329249211242334,0.08741942059137187,0.01,0.3822154074249436
31,Ethiopia,Africa,231,2.0,0.16142945163277875,0.9669829371306534,0.5936705129330977,0.0060994988020615,0.07811069028070827,0.050640741258281996,0.01,0.36546527682450647
32,Finland,Europe,246,150.0,0.9876771410967344,0.1365754622364592,0.18111466112351282,0.47617447508833405,0.002471927640810067,0.015933806374396568,0.01,0.9821682511046004
33,France,Europe,250,150.0,0.8823166974738138,0.44210462949753776,0.32437532563824417,0.3912406666793797,0.04628043761188074,0.1275111653520972,0.01,0.8312425022660411
34,Germany,Europe,276,150.0,0.895871842267406,0.41651275716428615,0.2867432412095354,0.45555576505480094,0.05750176725495527,0.21227681295335107,0.01,0.8979908615030994
35,Ghana,Africa,288,2.0,0.4060382008626,1.006618245497237,0.7255991425410219,0.019569104429446867,0.020143344387254267,0.053806786769537235,0.01,0.35304879543386997
36,Greece,Europe,300,150.0,0.8065311152187307,0.6219264463667366,0.38039226814078964,0.18130921780583611,0.006160019706466534,0.05677181915071117,0.01,0.6082743007956689
37,Guatemala,Americas,320,19.0,0.4633394947627849,0.984693535534315,0.2826434963739682,0.04231623677115363,0.0103368992282392,0.0726581690200872,0.01,0.3927286826634814
38,Guinea,Africa,324,2.0,0.18792359827479965,0.9985138869075152,0.5435926613124059,0.008188946511760968,0.007618215124324266,0.0290086431350383,0.01,0.3496981141996988
